DC,Center,Type,Address,Suite,City,State,Zip,Lantitude,Longitude
AB,Albuquerque,STD,"4380 Alexander NE, Ste E&F",,Albuquerque,NM,87107,,
AK,Little Rock,STD,"4205 South Shackleford Rd. , Ste E",,Little Rock,AR,72204,,
AL,Albany,STD,"10 Walker Way, Suite 4&5",,Albany,NY,12205,,
AS,Canton,STD,"780 Dedham Street, Ste 200",,Canton,MA,2021,,
AU,Austin,STD,"2101 Donley Drive, Ste 108",,Austin,TX,78758,,
AX,Alexandria,STD,5655- C Gen'l Washington  Dr.,,Alexandria,VA,22312,,
BE,Boise,STD,9999 West Emerald Street. Bldg A,,Boise,ID,83704,,
BF,Bedford Park,STD,9745 Industrial Dr. Unit 2,,Bridgeview,IL,60455,,
BH,Birmingham,STD,120-A Oxmoor Court,,Homewood,AL,35209,,
BK,Brooklyn,STD,3449 Fort Hamilton Pkwy,,Brooklyn,NY,11218,,
BN,Bensalem,STD,358 Dunks Ferry Road,,Bensalem,PA,19020,,
BR,Bridgeport,STD,121 Woodmont Road,,Milford,CT,6460,,
BT,Baltimore,STD,11447 Cronhill Drive,,Owings Mill,MD,21117,,
BU,Buffalo,STD,307 Cayuga Road Suite 160,,Cheektowaga,NY,14225,,
BV,Beltsville,STD,6620 Virginia Manor Road,,Beltsville,MD,20705,,
CB,Columbia,STD,"400 Arbor Lake Road, Suite A900",,Columbia,SC,29223,,
CD,Cleveland,STD,"7710  First Place, Bldg A",,Bedford,OH,44146,,
CG,Calgary,STD,2312 - 52nd Avenue SE,,Calgary,AB,T2C 0A3,,
CI,Cincinnati,STD,"5601 Creek Road, Ste A&B",,Blue Ash,OH,45242,,
CL,Charlotte,STD,"800 Clanton Rd., Ste F",,Charlotte,NC,28217,,
CS,Columbus,STD,6171 A/B Huntley Rd.,,Columbus,OH,43229,,
CT,Charleston,STD,4275 Arco Lane,,No Charleston,SC,29418,,
DA,Dallas,STD,12880 Valley Branch Lane,140,Farmers Branch,TX,75234,,
DC,Gaithersburg,STD,8-9 Metropolitan Court,,Gaithersburg,MD,20878,,
DN,Denver,STD,5065 Kalamath Street,,Denver,CO,80221,,
DV,Doraville,STD,3135 Presidential Drive,,Doraville,GA,30340,,
EF,Elmsford,STD,"125 Clearbrook Road, Ste 130",,Elmsford,NY,10523,,
EG,Elk Grove,STD,509 Busse Road,,Elk Grove Village,IL,60007,,
EM,Edmonton,STD,5215 86th Street,,Edmonton,AB,T6E 6T1,,
FC,San Francisco,STD,441 Victory Avenue,,So. San Francisco,CA,94080,,
FF,Fairfield,STD,14 Madison Road,Unit A,Fairfield,NJ,7004,,
FI,Fulton Industrial,STD,7685 The Bluffs- SuiteA,,Austell,GA,30168,,
FM,Ft Myers,STD,"7800 Drew Circle, Units 6,7, 8 & 9",,Ft. Myers,FL,33967,,
FN,Fresno,STD,"230 West Fallbrook, Suite 103",,Fresno,CA,93711,,
FR,Ft Lauderdale,STD,10420 W State Road 84,,Ft. Lauderdale,FL,33324,,
FW,Fort Worth,STD,5036-5104 Saunders Road,,Fort Worth,TX,76119,,
GD,Grand Rapids,STD,"5801 Weller Court, Suite A",,Wyoming,MI,49509,,
GR,Greensboro,STD,4500 Green Point Drive,,Greensboro,NC,27410,,
HA,Harrisburg,STD,1351 Eisenhower Blvd,,Harrisburg,PA,17111,,
HF,Hartford,STD,"712 Brook Street, Bldg B, Suite 1",,Rocky Hill,CT,6067,,
HI,Hawaii,STD,3015 Koapaka St.,Suite C,Honolulu,HI,96819,,
HK,Hackensack,STD,100 Hollister Rd.,,Teterboro,NJ,7608,,
HO,North Houston,STD,335 Pennbright Drive,,Houston,TX,77090,,
HU,Houston,STD,"7425 Pinemont Business Center, Ste 100",,Houston,TX,77040,,
HX,Halifax,STD,"90 Raddall  Avenue, Unit # 5",,Dartmouth,NS,B3B 1T2,,
ID,Indianapolis,STD,3160 North Shadeland Ave,,Indianapolis,IN,46226,,
IS,Islip,STD,1590 Locust Ave,,Bohemia,NY,11716,,
JK,Jackson,STD,"197 Interstate Drive, Ste G, Bldg B",,Richland,MS,39218,,
JX,Jacksonville,STD,"9454 Philips Hwy, Ste 4",,Jacksonville,FL,32256,,
KX,Knoxville,EXP,536 Milwaukee Way,,Knoxville,TN,37932,,
LB,Long Beach,STD,1709 Mahalo Place,,Rancho Dominguez,CA,90220,,
LD,San Leandro,STD,20980 Cabot Blvd.,,Hayward,CA,94545,,
LE,Lenexa,STD,8055 Flint Street,,Lenexa,KS,66214,,
LS,Louisville,STD,3908 Produce Road,,Louisville,KY,40218,,
LT,Lantana,STD,"3020 Highridge Rd., Ste. 500",,Boynton Beach,FL,33426,,
LV,Las Vegas,STD,5818 West Spring Mountain Rd. Ste 207-211,,Las Vegas,NV,89146,,
M3,Montreal,STD,3170 Louis A Amos,,Lachine,QC,H8T 3J2,,
MA,Manhattan,STD,253 West 28th Street,,"New York,",NY,10001,,
MB,Melbourne,STD,"748 North Drive, Suite C",,Melbourne,FL,32934,,
MC,Memphis,STD,1801 Shelby Oaks Dr. North  Suite 16,,Memphis,TN,38134,,
ML,Milwaukee,STD,"13100 West Lisbon Rd, Suite 300",,Brookfield,WI,53005,,
MN,Minneapolis,STD,1701 W 94th Street,Suite# 125,"Bloomington,",MN,55431,,
MO,Mobile,STD,933 Lakeside Drive,,Mobile,AL,36693,,
MS,Miami South,STD,"8491 NW 17th Street, Ste 105",,Doral,FL,33126,,
ND,North Detroit,STD,24749 Forterra Drive,,Warren,MI,48089,,
NH,North Hollywood,STD,"7247 Hayvenhurst Ave, Unit A-5",,Van Nuys,CA,91406,,
NO,New Orleans,STD,2747 Edenborn Ave.,,Metairie,LA,70002,,
NS,North Seattle,STD,"22122 30th Drive SE, Suite 130",130,Bothell,WA,98021,,
NV,Nashville,STD,801 Airpark Center Drive,,Nashville,TN,37217,,
O1,Ottawa,STD,1280-1290 Old Innes Road,,Ottawa,ON,K1B 5M7,,
OH,Omaha,EXP,12112 Centennial Rd,,La Vista,NE,68128,,
OK,Oklahoma,STD,3801 South Moulton Drive,,Oklahoma City,OK,73179,,
OL,Orlando,STD,811 S. Orlando Ave Suite A,,Winter Park,FL,32789,,
OR,Orange,STD,1635 N Batavia Street,,Orange,CA,92867,,
OZ,Ozone Park,STD,182-03 Horace Harding Expwy,,Fresh Meadows,NY,11365,,
PB,Pittsburgh,STD,410 Lindbergh Drive,,Moon Township,PA,15108,,
PC,Pennsauken,STD,"1000 Lincoln Drive East, Unit 4",,Marlton,NJ,8053,,
PD,Providence,STD,"487 Jefferson Blvd, Ste 200",,Warwick,RI,2886,,
PL,Plymouth,STD,5170 Campus Drive,,Plymouth Meeting,PA,19462,,
PN,Pompano,STD,1301 West Copans RD. Ste. B1,,Pompano Beach,FL,33064,,
PO,Portland,STD,"25977 Canyon Creek Road, Ste. A",,Wilsonville,OR,97070,,
PX,Phoenix,STD,"3710 East University Drive, Suite 5",,Phoenix,AZ,85034,,
QC,Quebec City,STD,"399 rue Jaquard, Ste 105",,Quebec,QB,G1N 4J6,,
RC,Rochester,STD,50 Methodist Hill Road,,Rochester,NY,14623,,
RD,Raleigh,STD,"2741 Noblin Rd., Ste 101",,"Raleigh,",NC,27604,,
RM,Richmond,STD,2237-2241 Dabney Rd,,Richmond,VA,23230,,
RN,Reno,STD,525 Vista Blvd,,Sparks,NV,89434,,
RS,Riverside,STD,"1737 Atlanta Ave., Ste H1",Suite H1,Riverside,CA,92507,,
SA,San Antonio,STD,853 Isom Road,,San Antonio,TX,78216,,
SB,Scarborough,STD,150 McLevin Ave,,Scarborough,ON,M1B 4Z7,,
SC,Santa Clara,STD,487 Mathew Street,,Santa Clara,CA,95050,,
SD,San Diego,STD,"9610 Ridgehaven Court, Unit B",Unit B,San Diego,CA,92123,,
SE,Seattle,STD,7617 S. 180th Street,,Kent,WA,98032,,
SF,Southfield,STD,47247 Cartier Dr.,,Wixom,MI,48393,,
SJ,San Juan,STD,500 Calle C Apt 300,,Guaynabo,PR,968,,
SK,Spokane,STD,2680 E Ferry Avenue,,Spokane,WA,99202,,
