DC,Center,Type,Address,Suite,City,State,Zip,Latitude,Longitude
AB,Albuquerque,STD,"4380 Alexander NE, Ste E&F",,Albuquerque,NM,87107,35.129815,-106.6179862
AK,Little Rock,STD,"4205 South Shackleford Rd. , Ste E",,Little Rock,AR,72204,34.7152402,-92.390836
AL,Albany,STD,"10 Walker Way, Suite 4&5",,Albany,NY,12205,42.7166283,-73.8378335
AS,Canton,STD,"780 Dedham Street, Ste 200",,Canton,MA,2021,42.1917682,-71.1534654
AU,Austin,STD,"2101 Donley Drive, Ste 108",,Austin,TX,78758,30.3871942,-97.71267499999999
AX,Alexandria,STD,5655- C Gen'l Washington  Dr.,,Alexandria,VA,22312,38.8058371,-77.04206959999999
BE,Boise,STD,9999 West Emerald Street. Bldg A,,Boise,ID,83704,43.6091945,-116.306709
BF,Bedford Park,STD,9745 Industrial Dr. Unit 2,,Bridgeview,IL,60455,41.7143523,-87.80495409999999
BH,Birmingham,STD,120-A Oxmoor Court,,Homewood,AL,35209,33.4420185,-86.8434468
BK,Brooklyn,STD,3449 Fort Hamilton Pkwy,,Brooklyn,NY,11218,40.6453347,-73.98562
BN,Bensalem,STD,358 Dunks Ferry Road,,Bensalem,PA,19020,40.0773483,-74.92382289999999
BR,Bridgeport,STD,121 Woodmont Road,,Milford,CT,6460,41.2391316,-73.0241468
BT,Baltimore,STD,11447 Cronhill Drive,,Owings Mill,MD,21117,39.4402572,-76.7741506
BU,Buffalo,STD,307 Cayuga Road Suite 160,,Cheektowaga,NY,14225,42.9412181,-78.7424348
BV,Beltsville,STD,6620 Virginia Manor Road,,Beltsville,MD,20705,39.06088,-76.8949919
CB,Columbia,STD,"400 Arbor Lake Road, Suite A900",,Columbia,SC,29223,34.0625209,-80.987889
CD,Cleveland,STD,"7710  First Place, Bldg A",,Bedford,OH,44146,41.373169,-81.51247049999999
CG,Calgary,STD,2312 - 52nd Avenue SE,,Calgary,AB,T2C 0A3,51.0074261,-114.005332
CI,Cincinnati,STD,"5601 Creek Road, Ste A&B",,Blue Ash,OH,45242,39.2574841,-84.36660909999999
CL,Charlotte,STD,"800 Clanton Rd., Ste F",,Charlotte,NC,28217,35.1991134,-80.8838943
CS,Columbus,STD,6171 A/B Huntley Rd.,,Columbus,OH,43229,40.0992791,-82.9978079
CT,Charleston,STD,4275 Arco Lane,,No Charleston,SC,29418,32.8651467,-80.0015233
DA,Dallas,STD,12880 Valley Branch Lane,140,Farmers Branch,TX,75234,32.9187796,-96.9046472
DC,Gaithersburg,STD,8-9 Metropolitan Court,,Gaithersburg,MD,20878,39.14854589999999,-77.2292326
DN,Denver,STD,5065 Kalamath Street,,Denver,CO,80221,39.7878037,-105.0015182
