Product Model,HikRegion,Hik Territory,Branch,Cy Sell Thru,CY Qty,Note,Top/Bottom,Rank
DS-2CD2367G2P-LSU/SL 2.8mm,West,"NW, CO, WY",BE - BOISE,13600,68,1100 in stock ADI,Top,1
DS-2CD2367G2P-LSU/SL 2.8mm,South East,GA,FI - FULTON IND,12400,62,1100 in stock ADI,Top,2
DS-2CD2367G2P-LSU/SL 2.8mm,South East,FL,MS - MI SOUTH,12000,60,1100 in stock ADI,Top,3
DS-2CD2367G2P-LSU/SL 2.8mm,South East,FL,TP - TAMPA,11800,59,1100 in stock ADI,Top,4
DS-2CD2367G2P-LSU/SL 2.8mm,South East,FL,OL - ORLANDO,8400,42,1100 in stock ADI,Top,5
DS-2CD2367G2P-LSU/SL 2.8mm,Central,"KS, MO, S.IL",LE - LENEXA,7600,38,1100 in stock ADI,Top,6
DS-2CD2367G2P-LSU/SL 2.8mm,Mid Atlantic,Detroit & Ohio Valley,ND - N. DETROIT,7600,38,1100 in stock ADI,Top,7
DS-2CD2367G2P-LSU/SL 2.8mm,South East,FL,FM - FT MYERS,7000,35,1100 in stock ADI,Top,8
DS-2CD2367G2P-LSU/SL 2.8mm,Mid Atlantic,"PA, MD, DE, WV, DC",BV - BELTSVILLE,6800,34,1100 in stock ADI,Top,9
DS-2CD2367G2P-LSU/SL 2.8mm,West,"AZ, NM, EL PASO",PX - PHOENIX,6400,32,1100 in stock ADI,Top,10
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"TN, AL, MS",BH - BIRMINGHAM,0,0,1100 in stock ADI,Bottom,10
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"VA, NC, SC",CE - CHARLESTON,0,0,1100 in stock ADI,Bottom,9
DS-2CD2367G2P-LSU/SL 2.8mm,Central,"NTX, NLA, OK, AR",DA - DALLAS CC,0,0,1100 in stock ADI,Bottom,8
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"VA, NC, SC",GE - GREENVILLE,0,0,1100 in stock ADI,Bottom,7
DS-2CD2367G2P-LSU/SL 2.8mm,Mid Atlantic,"PA, MD, DE, WV, DC",HA - HARRISBURG,0,0,1100 in stock ADI,Bottom,6
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"TN, AL, MS",KX - KNOXVILLE,0,0,1100 in stock ADI,Bottom,5
DS-2CD2367G2P-LSU/SL 2.8mm,North East,Long Island,LI - LNG ISLAND,0,0,1100 in stock ADI,Bottom,4
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"VA, NC, SC",NF - NORFOLK,0,0,1100 in stock ADI,Bottom,3
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"VA, NC, SC",RM - RICHMOND,0,0,1100 in stock ADI,Bottom,2
DS-2CD2367G2P-LSU/SL 2.8mm,South East,FL,SJ - SAN JUAN,0,0,1100 in stock ADI,Bottom,1
DS-KIS602,South East,FL,MS - MI SOUTH,42900,110,915 in stock ADI,Top,1
DS-KIS602,South East,GA,FI - FULTON IND,24570,63,915 in stock ADI,Top,2
DS-KIS602,Mid Atlantic,"Chicago, WI, IN",EG - CHICAGO CC,18720,48,915 in stock ADI,Top,3
DS-KIS602,Mid Atlantic,Detroit & Ohio Valley,LS - LOUISVLLE2,13650,36,915 in stock ADI,Top,4
DS-KIS602,North East,Long Island,OZ - OZONE PARK,11700,30,915 in stock ADI,Top,5
DS-KIS602,Mid Atlantic,"PA, MD, DE, WV, DC",PL - PLYMOUTH,11700,30,915 in stock ADI,Top,6
DS-KIS602,South East,GA,DV - DORAVILLE,11310,29,915 in stock ADI,Top,7
DS-KIS602,Central,STX (Houston included)/SLA,HU - HOUSTON,11310,29,915 in stock ADI,Top,8
DS-KIS602,Mid Atlantic,Detroit & Ohio Valley,CS - COLUMBUS,10920,28,915 in stock ADI,Top,9
DS-KIS602,Central,STX (Houston included)/SLA,SA - S ANTONIO,10920,28,915 in stock ADI,Top,10
DS-KIS602,North East,"NY Metro, CT",MA - MANHATTAN,390,1,915 in stock ADI,Bottom,10
DS-KIS602,South East,"VA, NC, SC(Closed end of May 2023)",NF - NORFOLK,390,1,915 in stock ADI,Bottom,9
DS-KIS602,West,"NV, UT",RN - RENO,390,1,915 in stock ADI,Bottom,8
DS-KIS602,West,"NW, CO, WY",SK - SPOKANE,390,1,915 in stock ADI,Bottom,7
