Product Model,HikRegion,Hik Territory,Branch,Cy Sell Thru,CY Qty,Note,Top/Bottom,Rank,Latitude,Longitude
DS-2CD2367G2P-LSU/SL 2.8mm,West,"NW, CO, WY",BE - BOISE,13600,68,1100 in stock ADI,Top,1,43.6091945,-116.306709
DS-2CD2367G2P-LSU/SL 2.8mm,South East,GA,FI - FULTON IND,12400,62,1100 in stock ADI,Top,2,33.7652847,-84.5597263
DS-2CD2367G2P-LSU/SL 2.8mm,South East,FL,MS - MI SOUTH,12000,60,1100 in stock ADI,Top,3,25.790724,-80.3339874
DS-2CD2367G2P-LSU/SL 2.8mm,South East,FL,TP - TAMPA,11800,59,1100 in stock ADI,Top,4,27.9798994,-82.380573
DS-2CD2367G2P-LSU/SL 2.8mm,South East,FL,OL - ORLANDO,8400,42,1100 in stock ADI,Top,5,28.6213021,-81.3650187
DS-2CD2367G2P-LSU/SL 2.8mm,Central,"KS, MO, S.IL",LE - LENEXA,7600,38,1100 in stock ADI,Top,6,38.9820853,-94.71607259999999
DS-2CD2367G2P-LSU/SL 2.8mm,Mid Atlantic,Detroit & Ohio Valley,ND - N. DETROIT,7600,38,1100 in stock ADI,Top,7,42.4768103,-82.9929949
DS-2CD2367G2P-LSU/SL 2.8mm,South East,FL,FM - FT MYERS,7000,35,1100 in stock ADI,Top,8,26.4885245,-81.825103
DS-2CD2367G2P-LSU/SL 2.8mm,Mid Atlantic,"PA, MD, DE, WV, DC",BV - BELTSVILLE,6800,34,1100 in stock ADI,Top,9,39.06088,-76.8949919
DS-2CD2367G2P-LSU/SL 2.8mm,West,"AZ, NM, EL PASO",PX - PHOENIX,6400,32,1100 in stock ADI,Top,10,33.4223882,-112.0006378
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"TN, AL, MS",BH - BIRMINGHAM,0,0,1100 in stock ADI,Bottom,10,33.4420185,-86.8434468
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"VA, NC, SC",CE - CHARLESTON,0,0,1100 in stock ADI,Bottom,9,,
DS-2CD2367G2P-LSU/SL 2.8mm,Central,"NTX, NLA, OK, AR",DA - DALLAS CC,0,0,1100 in stock ADI,Bottom,8,32.9187796,-96.9046472
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"VA, NC, SC",GE - GREENVILLE,0,0,1100 in stock ADI,Bottom,7,,
DS-2CD2367G2P-LSU/SL 2.8mm,Mid Atlantic,"PA, MD, DE, WV, DC",HA - HARRISBURG,0,0,1100 in stock ADI,Bottom,6,40.2257648,-76.7970149
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"TN, AL, MS",KX - KNOXVILLE,0,0,1100 in stock ADI,Bottom,5,35.9107608,-84.1463374
DS-2CD2367G2P-LSU/SL 2.8mm,North East,Long Island,LI - LNG ISLAND,0,0,1100 in stock ADI,Bottom,4,,
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"VA, NC, SC",NF - NORFOLK,0,0,1100 in stock ADI,Bottom,3,,
DS-2CD2367G2P-LSU/SL 2.8mm,South East,"VA, NC, SC",RM - RICHMOND,0,0,1100 in stock ADI,Bottom,2,37.5820171,-77.4808851
DS-2CD2367G2P-LSU/SL 2.8mm,South East,FL,SJ - SAN JUAN,0,0,1100 in stock ADI,Bottom,1,18.3714851,-66.1126878
DS-KIS602,South East,FL,MS - MI SOUTH,42900,110,915 in stock ADI,Top,1,25.790724,-80.3339874
DS-KIS602,South East,GA,FI - FULTON IND,24570,63,915 in stock ADI,Top,2,33.7652847,-84.5597263
DS-KIS602,Mid Atlantic,"Chicago, WI, IN",EG - CHICAGO CC,18720,48,915 in stock ADI,Top,3,42.019019,-87.95895
DS-KIS602,Mid Atlantic,Detroit & Ohio Valley,LS - LOUISVLLE2,13650,36,915 in stock ADI,Top,4,38.1804264,-85.6866873
DS-KIS602,North East,Long Island,OZ - OZONE PARK,11700,30,915 in stock ADI,Top,5,40.7398978,-73.7920482
